hsa-mir-155,hsa-mir-491,hsa-mir-196b,hsa-mir-10a,hsa-mir-21,hsa-mir-148a,hsa-mir-1266,hsa-mir-200c,hsa-mir-128,hsa-mir-146b,hsa-mir-1296,hsa-mir-15b,hsa-mir-28,hsa-mir-105,hsa-mir-653,hsa-mir-452,hsa-mir-767,hsa-mir-141,hsa-mir-34a,hsa-mir-193a,hsa-mir-139,hsa-mir-374a,hsa-mir-23a,hsa-mir-504,hsa-mir-27a,hsa-mir-346,hsa-mir-503,hsa-mir-142,hsa-mir-501,hsa-mir-10b,hsa-mir-200a,hsa-mir-200b,hsa-mir-9,hsa-mir-30a,hsa-mir-574,hsa-mir-339,hsa-mir-100,hsa-mir-25,hsa-mir-138,hsa-mir-217,hsa-mir-335,hsa-mir-96,hsa-mir-671,hsa-mir-1262,hsa-mir-616,hsa-mir-455,hsa-mir-937,hsa-mir-383,hsa-mir-99b,hsa-mir-424
0.15812,0.24603,0.05302,0.24673,0.15343,0.40132,0.09468,0.50226,0.37582,0.15769,0.42213,0.36826,0.50076,0.54942,0.21709,0.05596,0.49978,0.43915,0.22277,0.27492,0.45102,0.49136,0.22763,0.36602,0.21804,0.6258,0.39407,0.33497,0.56192,0.2866,0.64353,0.43547,0.98328,0.51947,0.39029,0.18285,0.4355,0.53225,0.40176,0.12695,0.22564,0.25198,0.2433,0.09407,0.22385,0.33685,0.30271,0.41604,0.48972,0.30869
0.50313,0.3408,0.05503,0.27049,0.38419,0.40515,0.24123,0.56947,0.44522,0.36105,0.67591,0.35735,0.52403,0.44439,0.08506,0.30054,0.50706,0.80626,0.30132,0.34732,0.48865,0.583,0.37968,0.47204,0.49751,0.4197,0.39564,0.52986,0.51048,0.61723,0.30272,0.29003,0.96268,0.62921,0.49491,0.44558,0.43748,0.46464,0.58109,0.26198,0.42935,0.52591,0.3443,0.25245,0.14381,0.41016,0.05716,0.81524,0.43845,0.54871
0.21123,0.193,0.10992,0.17479,0.22906,0.34846,0.03028,0.20983,0.46733,0.17052,0.40463,0.29481,0.25179,0.44792,0.08999,0.20536,0.42927,0.08363,0.14793,0.16901,0.25819,0.54976,0.36617,0.31252,0.3364,0.51366,0.34251,0.24109,0.55206,0.80243,0.24286,0.11631,0.9774,0.4082,0.20732,0.0664,0.36428,0.39965,0.41103,0.20006,0.31067,0.27031,0.28438,0.13249,0.07968,0.22317,0.13069,0.51801,0.32645,0.10257
0.23994,0.30977,0,0.26201,0.22932,0.44323,0.07107,0.37379,0.48129,0.31106,0.58545,0.34687,0.2998,0.60482,0,0.15962,0.54184,0.05533,0.14561,0.40157,0.38442,0.521,0.28384,0.36628,0.24129,0.61868,0.35278,0.21677,0.44448,0.625,0.41701,0.43174,0.97293,0.42836,0.35989,0.1563,0.43032,0.47753,0.34537,0.31322,0.34066,0.53391,0.44754,0.09026,0.14645,0.38848,0.18866,0.60947,0.29249,0.24008
0.27959,0.27822,0.09142,0.23554,0.78119,0.29319,0.03435,0.11761,0.42717,0.41598,0.46448,0.16108,0.32912,0.47768,0.12853,0.24759,0.50992,0.09423,0.3588,0.14851,0.4413,0.58664,0.4944,0.35466,0.51619,0.52306,0.26148,0.28742,0.36727,0.31696,0.03998,0.07209,0.95461,0.34353,0.14128,0.25125,0.334,0.36048,0.38486,0.2319,0.21145,0.23289,0.18299,0.37441,0.15492,0.22256,0.24573,0.53155,0.31812,0.12215
0.17568,0.16916,0.01829,0.31886,0.19184,0.32235,0.07328,0.04446,0.43686,0.41924,0.33793,0.35028,0.25077,0.49143,0.12746,0.07808,0.51716,0.15062,0.33255,0.10448,0.42239,0.47764,0.10141,0.19132,0.2019,0.54472,0.32041,0.06355,0.3379,0.70244,0.08529,0.04374,0.98336,0.44767,0.07929,0.13534,0.3992,0.38591,0.35703,0.11958,0.2543,0.46731,0.30106,0.09307,0.07127,0.13383,0.12948,0.51482,0.06772,0.21303
0.44181,0.55855,0.04537,0.27807,0.13949,0.32035,0.13497,0.12576,0.56436,0.51219,0.7331,0.35318,0.22814,0.51113,0.09724,0.10197,0.51365,0,0.558,0.14924,0.63243,0.33522,0,0.34518,0.25245,0.68617,0.16816,0.08143,0.41582,0.29,0.25964,0.1505,0.97906,0.29233,0.33833,0.28441,0.34395,0.31956,0.67006,0.10283,0.37087,0.37373,0.4221,0,0.09465,0.23574,0,0.60452,0.20106,0.09729
0.43348,0.44457,0.20341,0.32231,0.31404,0.41677,0.24759,0.44508,0.50369,0.62558,0.57714,0.57299,0.45291,0.47449,0,0.27117,0.50039,0.22219,0.52809,0.20978,0.56744,0.34324,0.19863,0.38283,0.20315,0.53109,0.24299,0.61917,0.57617,0.88567,0.17743,0.09739,0.94991,0.31885,0.14879,0.38171,0.26548,0.64805,0.61628,0.21431,0.34817,0.24679,0.40014,0.11093,0.08494,0.29852,0.28427,0.56471,0.32536,0.12227
0.5611,0.3591,0.07799,0.44589,0.4423,0.61102,0.68479,0.53478,0.42434,0.61124,0.33948,0.49398,0.62036,0.33538,0.26642,0.18602,0.33096,0.44673,0.6246,0.55973,0.47079,0.60536,0.50318,0.23862,0.39456,0.17653,0.49438,0.51244,0.68232,0.96956,0.681,0.46893,0.89979,0.70758,0.52538,0.45001,0.63742,0.51591,0.43629,0.29265,0.35098,0,0.63787,0.31272,0.13086,0.42192,0.27877,0.58119,0.69671,0.38382
0.32865,0.14506,0,0.35284,0.47026,0.31206,0.25111,0.19269,0.45635,0.43619,0.33063,0.35419,0.39258,0.47101,0.14253,0.4296,0.49193,0.1903,0.44859,0.21379,0.43826,0.46621,0.26545,0.19174,0.24473,0.54543,0.24023,0.30539,0.54376,0.58741,0.18039,0.08191,0.97614,0.53327,0.31975,0.14207,0.46141,0.40504,0.28693,0.18294,0.30058,0.35925,0.25295,0.04996,0.07144,0.18138,0.04928,0.36428,0.22504,0.13079
