hsa-mir-155,hsa-mir-491,hsa-mir-196b,hsa-mir-10a,hsa-mir-21,hsa-mir-148a,hsa-mir-1266,hsa-mir-200c,hsa-mir-128,hsa-mir-146b,hsa-mir-1296,hsa-mir-15b,hsa-mir-28,hsa-mir-105,hsa-mir-653,hsa-mir-452,hsa-mir-767,hsa-mir-141,hsa-mir-34a,hsa-mir-193a,hsa-mir-139,hsa-mir-374a,hsa-mir-23a,hsa-mir-504,hsa-mir-27a,hsa-mir-346,hsa-mir-503,hsa-mir-142,hsa-mir-501,hsa-mir-10b,hsa-mir-200a,hsa-mir-200b,hsa-mir-9,hsa-mir-30a,hsa-mir-574,hsa-mir-339,hsa-mir-100,hsa-mir-25,hsa-mir-138,hsa-mir-217,hsa-mir-335,hsa-mir-96,hsa-mir-671,hsa-mir-1262,hsa-mir-616,hsa-mir-455,hsa-mir-937,hsa-mir-383,hsa-mir-99b,hsa-mir-424
0.36125,0.32718,0.20816,0.04217,0.47237,0.08011,0.28353,0.0974,0.58669,0.79347,0.04799,0.15883,0.39348,0.35491,0.03284,0.23257,0.75091,0.06887,0,0.29291,0.92924,0.04771,0.12113,0.33394,0.47536,0.19538,0.39187,0.04298,1,1,0.01508,0.03679,0.77711,0.40831,0.32014,0.03108,0.49176,0.64848,1,0.05295,0.33357,0.10075,0.32789,0.05619,0.02121,0.45456,0.28757,0.43693,0.94314,0.0502
0.33088,0.10059,0.10374,0.01459,0.43976,0.01589,0.26255,0.54114,0.46141,0.05967,0.13925,0.34155,0.14959,0.04193,0.05015,0.25379,0.47905,0.03492,0.12096,0.23365,0.26034,0.25544,0.11751,0.85612,0.22647,0.9293,0.12533,0.0145,0.03012,0.00539,0.03458,0.77733,0.63889,0.24559,0.02102,0.02016,0.40578,0.50717,0.02037,0.10275,0.2147,0.00492,0.06982,0.25033,0.0372,0.02255,0.25907,0.10961,0.0778,0.10875
0.67526,0.47057,0.21999,0.16588,0.76709,0.58253,0.31597,0.11377,0.66346,0.51398,0.13032,0.71443,0.26611,0.04255,0.01612,0.09122,0.05421,0.0207,0.44565,0.28449,0.76231,0.34188,0.66265,0.13249,0.69359,0.29741,0.28072,0.00631,0.06103,0.03182,0.01317,0.03157,0.65668,0.50711,1,0.04438,0.40237,0.82729,0.09288,0.13408,0.24136,0.00931,0.06516,0.18262,0.00439,0.17089,0.04023,0.40878,0.56009,0.27449
0.55015,0.37878,0.23015,0.326,0.88666,0.54422,0.09867,0.02134,0.28423,0.41499,0.26665,0.2662,0.78356,0.4189,0.02445,0.10657,0.25281,0.49092,0.39362,0.08302,0.28432,0.9678,0.16141,0.0231,0.73817,0.04378,0.33294,0.48165,0.39524,0.77399,0.00452,0.01709,0.72987,0.61617,0.23268,0.32488,0.56357,0.76811,0.30279,0.13754,0.78163,0.31556,0.02397,0.04577,0.01732,0.12345,0.11964,0.00668,0.179,0.91943
0.39849,0.238,0.13996,0.10051,0.77977,0.44524,0.06587,0.03748,0.51152,0.26097,0.19663,0.49987,0.71783,0.4158,0.01599,0.3215,0.31961,0.23909,0.49707,0.04506,0.17476,0.92029,0.29113,0.17467,0.85775,0.03077,1,0.87365,0.29613,0.43721,0.02082,0.01782,0.67716,0.5912,0.39585,0.20094,0.7263,0.53053,0.43545,0.46871,0.26499,0.13971,0.05731,0.0607,0.02536,0.08431,0.13032,0.24431,0.31339,1
0.3215,0.30429,0.3787,0.18298,0.49904,0.05438,0.10184,0.03062,0.72535,0.12867,0.45608,0.34396,0.66567,0.2556,0.05975,0.00946,0.08357,0.04572,0.406,0.15655,0.5931,0.35726,0.27237,0.53443,0.56494,0.18047,0.32531,0.0022,0.25718,0.40654,0.00374,0.04954,0.80658,0.23038,0.22342,0.35133,0.5284,0.70368,0.49057,0.02845,0.57687,0.11901,0.11014,0.13528,0.00282,0.17729,0.10767,0.33421,0.19329,0.64567
0.19582,0.04101,0.15515,0.16203,0.79432,0.04907,0.47441,0.09153,0.73565,0.44779,0.00688,0.44888,0.52907,0.01588,0.02302,0.2179,0.00399,0.03088,0.16641,0.10914,0.76231,0.59929,0.42487,0.46766,0.46142,0.50389,0.27153,0.0124,0.1214,0.6473,0.01491,0.33271,0.66678,0.37636,0.20782,0.02075,0.52316,0.8038,0.08029,0.03204,0.81271,0.10472,0.04652,0.02064,0.01753,0.27131,0.06876,0.22118,0.17511,0.56123
0.00495,0.43381,0.01033,0.00502,0.66218,0.40408,0.52242,0.789,0.38298,0.13036,0.01618,0.01793,0.00817,0.13259,0.04146,0.23257,0.75651,0.07578,0.79595,0.01068,0.55499,0.09154,0.23278,0.88224,0.06759,0.9293,0.09876,0.05633,0.02278,0.01476,0.02444,1,0.51191,0,0.02833,0.12422,0,0.35829,0.01026,0.06654,0.06238,0.0068,0.01299,0.10056,0.04916,0.05052,0.14168,0.04406,0.00077,0.12758
0.38156,0.32462,0.26518,0.07381,0.69066,0.40107,0.16242,0.08477,0.34172,0.49508,0.21788,0.32138,0.71212,0.22211,0.01937,0.15089,0.1801,0.23784,0.45494,0.10479,0.28896,0.90013,0.11392,0.00136,0.62726,0,0.1666,0.57594,0.13168,0.06296,0.00596,0.02716,0.72987,0.64487,0.14183,0.09584,0.7263,0.83981,0.29862,0.06268,0.89428,0.2855,0.01266,0.06187,0.04542,0.10886,0.21801,0.09909,0.14187,0.70028
0.47813,0.53136,0.94794,0.06465,0.68154,1,0.14152,0.07584,0.53142,0.46255,0.26482,0.55875,0.74201,0.13259,0.02712,0.05348,0.0919,0.40427,0.80608,0.09787,0.10749,0.82883,0.36558,0.04781,0.74816,0.04635,0.4569,0.31161,0.49942,0.30448,0.09715,0.17627,0.72987,0.52726,0.3446,0.26316,0.83574,0.82729,0.31159,0.9931,0.55186,0.18762,0.04915,0.06219,0.01955,0.08193,0.18548,0.01101,0.28768,0.79059
